task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
Deliver Goods Services,1146,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Fluxicon Disco,Variant 2,2,2011-06-28T05:04:00.000,2011-06-26T23:40:00.000
Release Purchase Order,1146,Alberto Duport,Release Purchase Order,Alberto Duport,Fluxicon Disco,Variant 2,2,2011-06-28T12:38:00.000,2011-06-28T12:37:00.000
Approve Purchase Order for payment,1146,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-06-28T17:35:00.000,2011-06-28T17:34:00.000
Send Invoice,1146,Esmeralda Clay,Send Invoice,Esmeralda Clay,Fluxicon Disco,Variant 2,2,2011-06-28T23:50:00.000,2011-06-28T23:50:00.000
Release Supplier's Invoice,1146,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-06-29T14:09:00.000,2011-06-29T14:06:00.000
Authorize Supplier's Invoice payment,1146,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-06-29T14:09:00.000,2011-06-29T14:09:00.000
Pay Invoice,1146,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-06-29T14:34:00.000,2011-06-29T14:28:00.000
Create Purchase Requisition,115,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Fluxicon Disco,Variant 2,2,2011-01-15T00:16:00.000,2011-01-14T23:40:00.000
Create Request for Quotation,115,Christian Francois,Create Request for Quotation,Christian Francois,Fluxicon Disco,Variant 2,2,2011-01-15T04:28:00.000,2011-01-15T04:17:00.000
Analyze Request for Quotation,115,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 2,2,2011-01-17T06:41:00.000,2011-01-17T06:33:00.000
Send Request for Quotation to Supplier,115,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-01-17T18:38:00.000,2011-01-17T18:17:00.000
Create Quotation comparison Map,115,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 2,2,2011-01-18T01:59:00.000,2011-01-17T21:17:00.000
Analyze Quotation Comparison Map,115,Clement Duchot,Analyze Quotation Comparison Map,Clement Duchot,Fluxicon Disco,Variant 2,2,2011-01-18T08:50:00.000,2011-01-18T08:35:00.000
Choose best option,115,Anne Olwada,Choose best option,Anne Olwada,Fluxicon Disco,Variant 2,2,2011-01-18T08:50:00.000,2011-01-18T08:50:00.000
Settle Conditions With Supplier,115,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-01-18T23:11:00.000,2011-01-18T12:31:00.000
Create Purchase Order,115,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 2,2,2011-01-19T05:34:00.000,2011-01-19T05:26:00.000
Confirm Purchase Order,115,Kiu Kan,Confirm Purchase Order,Kiu Kan,Fluxicon Disco,Variant 2,2,2011-01-19T16:10:00.000,2011-01-19T15:55:00.000
Deliver Goods Services,115,Karen Clarens,Deliver Goods Services,Karen Clarens,Fluxicon Disco,Variant 2,2,2011-01-23T04:46:00.000,2011-01-22T08:36:00.000
Release Purchase Order,115,Christian Francois,Release Purchase Order,Christian Francois,Fluxicon Disco,Variant 2,2,2011-01-23T12:41:00.000,2011-01-23T12:40:00.000
Approve Purchase Order for payment,115,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-01-24T02:37:00.000,2011-01-24T02:36:00.000
Send Invoice,115,Sean Manney,Send Invoice,Sean Manney,Fluxicon Disco,Variant 2,2,2011-01-24T12:59:00.000,2011-01-24T12:59:00.000
Release Supplier's Invoice,115,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-01-25T03:13:00.000,2011-01-25T03:07:00.000
Authorize Supplier's Invoice payment,115,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-01-25T03:13:00.000,2011-01-25T03:13:00.000
Pay Invoice,115,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-01-25T04:23:00.000,2011-01-25T04:13:00.000
Create Purchase Requisition,1151,Clement Duchot,Create Purchase Requisition,Clement Duchot,Fluxicon Disco,Variant 4,4,2011-06-17T09:32:00.000,2011-06-17T08:38:00.000
Analyze Purchase Requisition,1151,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 4,4,2011-06-18T03:26:00.000,2011-06-18T03:21:00.000
Create Request for Quotation,1151,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Fluxicon Disco,Variant 4,4,2011-06-18T03:31:00.000,2011-06-18T03:30:00.000
Analyze Request for Quotation,1151,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 4,4,2011-06-18T07:16:00.000,2011-06-18T06:59:00.000
Create Purchase Requisition,1153,Anne Olwada,Create Purchase Requisition,Anne Olwada,Fluxicon Disco,Variant 3,3,2011-06-17T16:01:00.000,2011-06-17T15:26:00.000
Analyze Purchase Requisition,1153,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Fluxicon Disco,Variant 3,3,2011-06-18T06:14:00.000,2011-06-18T06:09:00.000
Create Purchase Requisition,1158,Penn Osterwalder,Create Purchase Requisition,Penn Osterwalder,Fluxicon Disco,Variant 4,4,2011-06-18T01:30:00.000,2011-06-18T01:09:00.000
Analyze Purchase Requisition,1158,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 4,4,2011-06-18T19:48:00.000,2011-06-18T19:40:00.000
Create Request for Quotation,1158,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Fluxicon Disco,Variant 4,4,2011-06-18T19:58:00.000,2011-06-18T19:56:00.000
Analyze Request for Quotation,1158,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 4,4,2011-06-22T08:21:00.000,2011-06-22T07:38:00.000
Create Purchase Requisition,1160,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Fluxicon Disco,Variant 40,40,2011-06-18T13:13:00.000,2011-06-18T12:48:00.000
Analyze Purchase Requisition,1160,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 40,40,2011-06-19T11:01:00.000,2011-06-19T10:55:00.000
Create Request for Quotation,1160,Maris Freeman,Create Request for Quotation,Maris Freeman,Fluxicon Disco,Variant 40,40,2011-06-19T11:11:00.000,2011-06-19T11:08:00.000
Analyze Request for Quotation,1160,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 40,40,2011-06-22T06:40:00.000,2011-06-22T06:18:00.000
Amend Request for Quotation,1160,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Fluxicon Disco,Variant 40,40,2011-06-22T07:40:00.000,2011-06-22T07:33:00.000
Analyze Request for Quotation,1160,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 40,40,2011-06-22T10:58:00.000,2011-06-22T10:40:00.000
Amend Request for Quotation,1160,Immanuel Karagianni,Amend Request for Quotation,Immanuel Karagianni,Fluxicon Disco,Variant 40,40,2011-06-22T12:07:00.000,2011-06-22T11:52:00.000
Analyze Request for Quotation,1160,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 40,40,2011-07-05T20:30:00.000,2011-07-05T20:06:00.000
Amend Request for Quotation,1160,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Fluxicon Disco,Variant 40,40,2011-07-05T21:31:00.000,2011-07-05T21:17:00.000
Analyze Request for Quotation,1160,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 40,40,2011-08-08T19:40:00.000,2011-08-08T19:10:00.000
Amend Request for Quotation,1160,Esmana Liubiata,Amend Request for Quotation,Esmana Liubiata,Fluxicon Disco,Variant 40,40,2011-08-08T20:46:00.000,2011-08-08T20:34:00.000
Analyze Request for Quotation,1160,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 40,40,2011-08-23T13:53:00.000,2011-08-23T13:22:00.000
Amend Request for Quotation,1160,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Fluxicon Disco,Variant 40,40,2011-08-23T14:52:00.000,2011-08-23T14:39:00.000
Analyze Request for Quotation,1160,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 40,40,2011-09-08T02:53:00.000,2011-09-08T02:23:00.000
Send Request for Quotation to Supplier,1160,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Fluxicon Disco,Variant 40,40,2011-09-08T16:11:00.000,2011-09-08T15:46:00.000
Create Quotation comparison Map,1160,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Fluxicon Disco,Variant 40,40,2011-09-08T23:01:00.000,2011-09-08T20:55:00.000
Analyze Quotation Comparison Map,1160,Miu Hanwan,Analyze Quotation Comparison Map,Miu Hanwan,Fluxicon Disco,Variant 40,40,2011-09-09T06:01:00.000,2011-09-09T05:44:00.000
Choose best option,1160,Anne Olwada,Choose best option,Anne Olwada,Fluxicon Disco,Variant 40,40,2011-09-09T06:01:00.000,2011-09-09T06:01:00.000
Settle Conditions With Supplier,1160,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 40,40,2011-09-10T15:34:00.000,2011-09-10T07:11:00.000
Create Purchase Order,1160,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 40,40,2011-09-10T18:09:00.000,2011-09-10T17:57:00.000
Confirm Purchase Order,1160,Sean Manney,Confirm Purchase Order,Sean Manney,Fluxicon Disco,Variant 40,40,2011-09-13T17:01:00.000,2011-09-13T16:43:00.000
Deliver Goods Services,1160,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Fluxicon Disco,Variant 40,40,2011-09-29T07:38:00.000,2011-09-29T02:42:00.000
Release Purchase Order,1160,Elvira Lores,Release Purchase Order,Elvira Lores,Fluxicon Disco,Variant 40,40,2011-09-29T15:46:00.000,2011-09-29T15:45:00.000
Approve Purchase Order for payment,1160,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 40,40,2011-09-29T22:01:00.000,2011-09-29T22:00:00.000
Send Invoice,1160,Kiu Kan,Send Invoice,Kiu Kan,Fluxicon Disco,Variant 40,40,2011-10-03T13:30:00.000,2011-10-03T13:30:00.000
Release Supplier's Invoice,1160,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 40,40,2011-10-04T03:55:00.000,2011-10-04T03:49:00.000
Settle Dispute With Supplier,1160,Karalda Nimwada,Settle Dispute With Supplier,Karalda Nimwada,Fluxicon Disco,Variant 40,40,2011-10-04T04:33:00.000,2011-10-04T04:03:00.000
Authorize Supplier's Invoice payment,1160,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 40,40,2011-10-04T04:33:00.000,2011-10-04T04:33:00.000
Pay Invoice,1160,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 40,40,2011-10-04T05:38:00.000,2011-10-04T05:32:00.000
Create Purchase Requisition,1161,Alberto Duport,Create Purchase Requisition,Alberto Duport,Fluxicon Disco,Variant 13,13,2011-06-18T14:02:00.000,2011-06-18T13:16:00.000
Analyze Purchase Requisition,1161,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Fluxicon Disco,Variant 13,13,2011-06-19T04:21:00.000,2011-06-19T04:17:00.000
Create Request for Quotation,1161,Francis Odell,Create Request for Quotation,Francis Odell,Fluxicon Disco,Variant 13,13,2011-06-19T04:31:00.000,2011-06-19T04:28:00.000
Analyze Request for Quotation,1161,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 13,13,2011-07-22T13:17:00.000,2011-07-22T12:49:00.000
Amend Request for Quotation,1161,Anna Kaufmann,Amend Request for Quotation,Anna Kaufmann,Fluxicon Disco,Variant 13,13,2011-07-22T14:18:00.000,2011-07-22T14:13:00.000
Analyze Request for Quotation,1161,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 13,13,2011-08-06T04:44:00.000,2011-08-06T04:17:00.000
Amend Request for Quotation,1161,Nico Ojenbeer,Amend Request for Quotation,Nico Ojenbeer,Fluxicon Disco,Variant 13,13,2011-08-06T05:47:00.000,2011-08-06T05:36:00.000
Analyze Request for Quotation,1161,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 13,13,2011-08-28T12:35:00.000,2011-08-28T12:01:00.000
Send Request for Quotation to Supplier,1161,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Fluxicon Disco,Variant 13,13,2011-08-29T08:39:00.000,2011-08-29T08:03:00.000
Create Quotation comparison Map,1161,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Fluxicon Disco,Variant 13,13,2011-09-01T13:24:00.000,2011-09-01T11:06:00.000
Analyze Quotation Comparison Map,1161,Nico Ojenbeer,Analyze Quotation Comparison Map,Nico Ojenbeer,Fluxicon Disco,Variant 13,13,2011-09-01T20:13:00.000,2011-09-01T19:59:00.000
Choose best option,1161,Nico Ojenbeer,Choose best option,Nico Ojenbeer,Fluxicon Disco,Variant 13,13,2011-09-01T20:13:00.000,2011-09-01T20:13:00.000
Settle Conditions With Supplier,1161,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Fluxicon Disco,Variant 13,13,2011-09-02T06:55:00.000,2011-09-01T23:13:00.000
Create Purchase Order,1161,Francois de Perrier,Create Purchase Order,Francois de Perrier,Fluxicon Disco,Variant 13,13,2011-09-02T12:36:00.000,2011-09-02T12:28:00.000
Confirm Purchase Order,1161,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Fluxicon Disco,Variant 13,13,2011-09-09T09:49:00.000,2011-09-09T09:25:00.000
Deliver Goods Services,1161,Sean Manney,Deliver Goods Services,Sean Manney,Fluxicon Disco,Variant 13,13,2011-09-20T22:45:00.000,2011-09-19T03:01:00.000
Release Purchase Order,1161,Anne Olwada,Release Purchase Order,Anne Olwada,Fluxicon Disco,Variant 13,13,2011-09-21T06:08:00.000,2011-09-21T06:07:00.000
Approve Purchase Order for payment,1161,Karel de Groot,Approve Purchase Order for payment,Karel de Groot,Fluxicon Disco,Variant 13,13,2011-09-21T15:31:00.000,2011-09-21T15:30:00.000
Send Invoice,1161,Karen Clarens,Send Invoice,Karen Clarens,Fluxicon Disco,Variant 13,13,2011-09-26T13:24:00.000,2011-09-26T13:24:00.000
Release Supplier's Invoice,1161,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 13,13,2011-09-27T03:53:00.000,2011-09-27T03:49:00.000
Authorize Supplier's Invoice payment,1161,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 13,13,2011-09-27T03:53:00.000,2011-09-27T03:53:00.000
Pay Invoice,1161,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 13,13,2011-09-27T05:05:00.000,2011-09-27T04:58:00.000
Create Purchase Requisition,117,Anne Olwada,Create Purchase Requisition,Anne Olwada,Fluxicon Disco,Variant 1,1,2011-01-15T02:07:00.000,2011-01-15T01:56:00.000
Analyze Purchase Requisition,117,Francis Odell,Analyze Purchase Requisition,Francis Odell,Fluxicon Disco,Variant 1,1,2011-01-15T21:21:00.000,2011-01-15T21:15:00.000
Create Request for Quotation,117,Maris Freeman,Create Request for Quotation,Maris Freeman,Fluxicon Disco,Variant 1,1,2011-01-15T21:27:00.000,2011-01-15T21:25:00.000
Analyze Request for Quotation,117,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-01-17T07:11:00.000,2011-01-17T06:41:00.000
Send Request for Quotation to Supplier,117,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-01-17T08:35:00.000,2011-01-17T08:11:00.000
Create Quotation comparison Map,117,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-01-17T14:20:00.000,2011-01-17T08:39:00.000
Analyze Quotation Comparison Map,117,Alberto Duport,Analyze Quotation Comparison Map,Alberto Duport,Fluxicon Disco,Variant 1,1,2011-01-17T21:34:00.000,2011-01-17T21:20:00.000
Choose best option,117,Alberto Duport,Choose best option,Alberto Duport,Fluxicon Disco,Variant 1,1,2011-01-17T21:34:00.000,2011-01-17T21:34:00.000
Settle Conditions With Supplier,117,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Fluxicon Disco,Variant 1,1,2011-01-18T15:34:00.000,2011-01-18T01:59:00.000
Create Purchase Order,117,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 1,1,2011-01-18T23:50:00.000,2011-01-18T23:40:00.000
Confirm Purchase Order,117,Sean Manney,Confirm Purchase Order,Sean Manney,Fluxicon Disco,Variant 1,1,2011-01-19T06:16:00.000,2011-01-19T06:05:00.000
Deliver Goods Services,117,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Fluxicon Disco,Variant 1,1,2011-01-22T12:00:00.000,2011-01-20T18:17:00.000
Release Purchase Order,117,Nico Ojenbeer,Release Purchase Order,Nico Ojenbeer,Fluxicon Disco,Variant 1,1,2011-01-22T19:30:00.000,2011-01-22T19:29:00.000
Approve Purchase Order for payment,117,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 1,1,2011-01-23T09:28:00.000,2011-01-23T09:27:00.000
Send Invoice,117,Carmen Finacse,Send Invoice,Carmen Finacse,Fluxicon Disco,Variant 1,1,2011-01-24T03:23:00.000,2011-01-24T03:23:00.000
Release Supplier's Invoice,117,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 1,1,2011-01-24T17:54:00.000,2011-01-24T17:47:00.000
Authorize Supplier's Invoice payment,117,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Fluxicon Disco,Variant 1,1,2011-01-24T17:54:00.000,2011-01-24T17:54:00.000
Pay Invoice,117,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 1,1,2011-01-24T18:37:00.000,2011-01-24T18:28:00.000
Create Purchase Requisition,1177,Kim Passa,Create Purchase Requisition,Kim Passa,Fluxicon Disco,Variant 2,2,2011-06-20T10:29:00.000,2011-06-20T09:33:00.000
Create Request for Quotation,1177,Alberto Duport,Create Request for Quotation,Alberto Duport,Fluxicon Disco,Variant 2,2,2011-06-20T13:28:00.000,2011-06-20T13:16:00.000
Analyze Request for Quotation,1177,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-06-24T23:45:00.000,2011-06-24T23:11:00.000
Send Request for Quotation to Supplier,1177,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Fluxicon Disco,Variant 2,2,2011-06-25T03:37:00.000,2011-06-25T03:19:00.000
Create Quotation comparison Map,1177,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 2,2,2011-06-25T08:25:00.000,2011-06-25T05:29:00.000
Analyze Quotation Comparison Map,1177,Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,Fluxicon Disco,Variant 2,2,2011-06-25T15:41:00.000,2011-06-25T15:12:00.000
Choose best option,1177,Clement Duchot,Choose best option,Clement Duchot,Fluxicon Disco,Variant 2,2,2011-06-25T15:41:00.000,2011-06-25T15:41:00.000
Settle Conditions With Supplier,1177,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-06-26T05:52:00.000,2011-06-25T20:59:00.000
Create Purchase Order,1177,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 2,2,2011-06-26T12:18:00.000,2011-06-26T12:12:00.000
Confirm Purchase Order,1177,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Fluxicon Disco,Variant 2,2,2011-06-28T05:53:00.000,2011-06-28T05:40:00.000
Deliver Goods Services,1177,Karen Clarens,Deliver Goods Services,Karen Clarens,Fluxicon Disco,Variant 2,2,2011-06-29T17:38:00.000,2011-06-29T02:58:00.000
Release Purchase Order,1177,Clement Duchot,Release Purchase Order,Clement Duchot,Fluxicon Disco,Variant 2,2,2011-06-30T01:26:00.000,2011-06-30T01:25:00.000
Approve Purchase Order for payment,1177,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-06-30T12:17:00.000,2011-06-30T12:16:00.000
Send Invoice,1177,Carmen Finacse,Send Invoice,Carmen Finacse,Fluxicon Disco,Variant 2,2,2011-07-03T18:35:00.000,2011-07-03T18:35:00.000
Release Supplier's Invoice,1177,Karalda Nimwada,Release Supplier's Invoice,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-07-04T08:57:00.000,2011-07-04T08:53:00.000
Authorize Supplier's Invoice payment,1177,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-07-04T08:57:00.000,2011-07-04T08:57:00.000
Pay Invoice,1177,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Fluxicon Disco,Variant 2,2,2011-07-04T09:25:00.000,2011-07-04T09:14:00.000
Create Purchase Requisition,1178,Fjodor Kowalski,Create Purchase Requisition,Fjodor Kowalski,Fluxicon Disco,Variant 69,69,2011-06-20T12:22:00.000,2011-06-20T11:32:00.000
Analyze Purchase Requisition,1178,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Fluxicon Disco,Variant 69,69,2011-06-21T09:21:00.000,2011-06-21T09:15:00.000
Create Request for Quotation,1178,Francis Odell,Create Request for Quotation,Francis Odell,Fluxicon Disco,Variant 69,69,2011-06-21T09:29:00.000,2011-06-21T09:27:00.000
Analyze Request for Quotation,1178,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 69,69,2011-06-22T03:03:00.000,2011-06-22T02:30:00.000
Amend Request for Quotation,1178,Elvira Lores,Amend Request for Quotation,Elvira Lores,Fluxicon Disco,Variant 69,69,2011-06-22T04:02:00.000,2011-06-22T03:55:00.000
Analyze Request for Quotation,1178,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 69,69,2011-07-15T14:56:00.000,2011-07-15T14:22:00.000
Amend Request for Quotation,1178,Fjodor Kowalski,Amend Request for Quotation,Fjodor Kowalski,Fluxicon Disco,Variant 69,69,2011-07-15T15:55:00.000,2011-07-15T15:45:00.000
Analyze Request for Quotation,1178,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 69,69,2011-08-14T20:00:00.000,2011-08-14T19:41:00.000
Amend Request for Quotation,1178,Fjodor Kowalski,Amend Request for Quotation,Fjodor Kowalski,Fluxicon Disco,Variant 69,69,2011-08-14T21:04:00.000,2011-08-14T20:57:00.000
Analyze Request for Quotation,1178,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 69,69,2011-08-15T14:52:00.000,2011-08-15T14:32:00.000
Amend Request for Quotation,1178,Immanuel Karagianni,Amend Request for Quotation,Immanuel Karagianni,Fluxicon Disco,Variant 69,69,2011-08-15T15:56:00.000,2011-08-15T15:49:00.000
Analyze Request for Quotation,1178,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Fluxicon Disco,Variant 69,69,2011-09-11T05:36:00.000,2011-09-11T05:12:00.000
